check,source,ok,observed,expected,tolerance,scope
display_file_integrity_summary_labyrinth,display/display_labyrinth_pattern_summary.json,True,"{""missing"": [], ""size_bytes"": 5546}",all required sections present,exact,pattern display
display_pattern_checks_labyrinth,display/display_labyrinth_pattern_summary.json,True,"{""no_nan"": true, ""pattern_checks_passed"": true, ""persistence_passed"": true, ""spectral_selection_passed"": true}",all pattern checks true,exact,pattern verification
display_pattern_verification_labyrinth_no_nan,display/display_labyrinth_pattern_summary.json,True,True,True,exact,pattern verification
display_pattern_verification_labyrinth_spectral_selection_passed,display/display_labyrinth_pattern_summary.json,True,True,True,exact,pattern verification
display_pattern_verification_labyrinth_persistence_passed,display/display_labyrinth_pattern_summary.json,True,True,True,exact,pattern verification
display_pattern_verification_labyrinth_pattern_checks_passed,display/display_labyrinth_pattern_summary.json,True,True,True,exact,pattern verification
display_scope_labyrinth,display/display_labyrinth_pattern_summary.json,True,"{""case"": ""labyrinth"", ""claim_level"": ""numerical_reference_demonstration"", ""reference_configuration_exact"": true, ""theorem_level_claimed"": false}",reference and exploratory scope rules,exact,result scope
display_file_integrity_png_labyrinth,display/display_labyrinth_pattern.png,True,"{""height"": 1496, ""mode"": ""RGBA"", ""size_bytes"": 318137, ""width"": 2589}",readable PNG at least 800 x 600,exact,pattern display
display_file_integrity_movie_labyrinth,display/display_labyrinth_pattern.mp4,True,"{""checks"": {""fps"": true, ""frame_count"": true, ""hash"": true, ""layout"": true, ""nonempty"": true, ""size"": true, ""square_full_frame"": true}, ""metadata"": {""duration"": 7.63, ""fps"": 8.0, ""height"": 1024, ""n_frames"": 61, ""width"": 1024}}",readable pattern-only MP4 matching summary metadata,exact; fps ±0.2,pattern display
display_file_integrity_summary_spot,display/display_spot_pattern_summary.json,True,"{""missing"": [], ""size_bytes"": 5649}",all required sections present,exact,pattern display
