case,covariance_min_eigenvalue,dt_cov,dt_pde,final_adjoint_frobenius_norm,k,logarithmic_negativity,mode_x,mode_y,nsteps,nu_physical_min,nu_pt,selection_symplectic_error,mode_class,k_over_kdom,angle_degrees,observed_refinement_ratio_nu_pt,richardson_nu_pt,absolute_nu_pt_error_to_richardson,observed_refinement_ratio_logarithmic_negativity,richardson_logarithmic_negativity,absolute_logarithmic_negativity_error_to_richardson
labyrinth,0.2721620040367456,0.1,0.05,328.77841930978826,0.6381360077604268,0.8730699569317567,13,0,800,168.67446791637687,0.2729918986154493,1.3322676295501878e-15,dominant_shell,1.0,0.0,3.9891713795826367,0.2585518167776072,0.0144400818378421,3.9631056587304223,0.9514724148596868,0.0784024579279299
labyrinth,0.2613743878007259,0.05,0.05,328.7352554327261,0.6381360077604268,0.9312998202500744,13,0,1600,165.2703959196602,0.262192837431049,1.3322676295501878e-15,dominant_shell,1.0,0.0,3.9891713795826367,0.2585518167776072,0.0036410206534418,3.9631056587304223,0.9514724148596868,0.0201725946096121
labyrinth,0.2586483789881943,0.025,0.05,328.7245224594165,0.6381360077604268,0.946394136255304,13,0,3200,164.39928414615162,0.2594639238524602,1.3322676295501878e-15,dominant_shell,1.0,0.0,3.9891713795826367,0.2585518167776072,0.000912107074853,3.9631056587304223,0.9514724148596868,0.0050782786043828
labyrinth,0.2579650276760398,0.0125,0.05,328.7218311416435,0.6381360077604268,0.950202845208591,13,0,6400,164.18020918168762,0.2587798435463204,1.3322676295501878e-15,dominant_shell,1.0,0.0,3.9891713795826367,0.2585518167776072,0.0002280267687132,3.9631056587304223,0.9514724148596868,0.0012695696510957
labyrinth,0.2718529490402345,0.1,0.05,328.77841930978826,0.6381360077604268,0.8762825521211901,12,5,800,171.00911620116443,0.2723846762340238,1.3322676295501878e-15,dominant_shell,1.0,22.61986494804043,3.989087220282781,0.2578164642033728,0.014568212030651,3.9627171689441782,0.9555814065792816,0.0792988544580913
labyrinth,0.2609485763279501,0.05,0.05,328.7352554327261,0.6381360077604268,0.9351721266186503,12,5,1600,167.51486183133323,0.2614900349513396,1.3322676295501878e-15,dominant_shell,1.0,22.61986494804043,3.989087220282781,0.2578164642033728,0.0036735707479668,3.9627171689441782,0.9555814065792816,0.0204092799606311
labyrinth,0.2581928103801927,0.025,0.05,328.7245224594165,0.6381360077604268,0.9504431675709604,12,5,3200,166.62047256494128,0.2587367399089997,1.3322676295501878e-15,dominant_shell,1.0,22.61986494804043,3.989087220282781,0.2578164642033728,0.0009202757056269,3.9627171689441782,0.9555814065792816,0.0051382390083212
labyrinth,0.2575019834583961,0.0125,0.05,328.7218311416435,0.6381360077604268,0.9542968468272012,12,5,6400,166.39553039572405,0.2580465331297795,1.3322676295501878e-15,dominant_shell,1.0,22.61986494804043,3.989087220282781,0.2578164642033728,0.0002300689264067,3.9627171689441782,0.9555814065792816,0.0012845597520803
labyrinth,0.2708786610351901,0.1,0.05,328.77841930978826,0.6247804131785202,0.8806959322191528,9,9,800,157.44768706663683,0.2715526915064228,1.3322676295501878e-15,dominant_shell,0.979070927796758,45.0,3.989432822579031,0.2574275317382493,0.0141251597681735,3.96382313596124,0.9577595786642076,0.0770636464450547
labyrinth,0.2603043921145385,0.05,0.05,328.7352554327261,0.6247804131785202,0.9379423109678195,9,9,1600,154.32345343318218,0.2609884177880311,1.3322676295501878e-15,dominant_shell,0.979070927796758,45.0,3.989432822579031,0.2574275317382493,0.0035608860497817,3.96382313596124,0.9577595786642076,0.0198172676963879
