lambda,state,spectral_abscissa,locking_rate,relative_lyapunov_residual,min_full_symplectic_eigenvalue,cp_margin,kstar_nu_physical,kstar_nu_pt,kstar_logarithmic_negativity,phase_tangent_overlap,critical_amplitude,leading_critical_amplitude,critical_amplitude_relative_deviation,reflection_fixed_spectral_abscissa,leading_radial_eigenvalue,reflection_fixed_relative_deviation,period_cell_npt_min_mode,period_cell_npt_min_k_over_pi,period_cell_npt_min
-0.4,homogeneous,-0.10263340389897088,,8.332932199062756e-15,0.8438298553716657,-6.87384274147241e-15,2.216994251111404,0.2532625164515104,0.9812945248686112,,,,,,,,,,
-0.3,homogeneous,-0.07646159383286248,,1.3052577869950436e-14,0.8441328793800307,-6.87384274147241e-15,2.5436361137712833,0.2524627750621314,0.9858574127351525,,,,,,,,,,
-0.2,homogeneous,-0.05064113103820511,,1.7483666445842706e-14,0.8444364659326433,-6.87384274147241e-15,3.0951780270159155,0.25165261479329043,0.990494506670212,,,,,,,,,,
-0.1,homogeneous,-0.02515823418684693,,3.4248481601482965e-14,0.8447406166564857,-6.87384274147241e-15,4.348592190335078,0.25083177863511547,0.9952079557788104,,,,,,,,,,
-0.05,homogeneous,-0.012539308564821924,,6.587781303454666e-14,0.84489290409282,-6.87384274147241e-15,6.129478613689482,0.25041727417605775,0.9975940098190808,,,,,,,,,,
0.05,bond_centered_branch,-3.7380816257072137e-10,3.7380816257072137e-10,1.6489199887670503e-06,0.8427564383220295,-6.016606191615881e-15,4.334527363679724,0.25042573100821064,0.9975452894429011,0.9999530650920239,0.030035483912323916,0.03003514267668443,1.1361212535421217e-05,-0.024843412966773355,-0.025,0.006263481329065845,1.0,0.16666666666666666,0.25042573100821064
0.075,bond_centered_branch,-2.764304354064284e-09,2.764304354064284e-09,1.5527669058290746e-07,0.8415520672012655,-8.468329283654364e-15,3.5452232594706374,0.25064368715717406,0.9962901967803953,0.9998956695251406,0.03678520984469788,0.0367853869547839,4.814685957699183e-06,-0.03714959141257213,-0.0375,0.00934422899807641,1.0,0.16666666666666666,0.25064368715717406
0.1,bond_centered_branch,-1.134462896799674e-08,1.134462896799674e-08,5.436418177347323e-08,0.8403091102566027,-4.303823360356507e-15,3.075563903346734,0.2508648598165494,0.9950176971531282,0.9998167455380882,0.042474616212166014,0.04247610612117807,3.507640290290048e-05,-0.0493804159781287,-0.05,0.012391680437426,1.0,0.16666666666666666,0.2508648598165494
0.125,bond_centered_branch,-3.3719425834394626e-08,3.3719425834394626e-08,1.976665594032187e-08,0.839029118782162,-7.464247431791219e-15,2.755638564437445,0.25108923140173267,0.9937279385856317,0.9997170738526293,0.047485975228406876,0.04748973035322454,7.907235500670406e-05,-0.06153710189528289,-0.0625,0.015406369675473708,1.0,0.16666666666666666,0.25108923140173267
0.15,bond_centered_branch,-8.172530569587756e-08,8.172530569587756e-08,4.898541716232977e-09,0.8377138195481316,-5.0640856097937506e-15,2.5199126898500555,0.2513166248764123,0.9924219846181255,0.9995974070792806,0.052015294114360115,0.052022393128597716,0.00013646073951367743,-0.07362083726368096,-0.075,0.018388836484253823,1.0,0.16666666666666666,0.2513166248764123
0.175,bond_centered_branch,-1.7206482300775985e-07,1.7206482300775985e-07,4.7520486490103395e-09,0.8363651541012229,-6.3040596883397864e-15,2.3370429631994067,0.2515469669112618,0.9911003008054389,0.9994584708640327,0.05617898036148739,0.056190606729512774,0.00020690945875256883,-0.08563278282651841,-0.0875,0.02133962483978946,1.0,0.16666666666666666,0.2515469669112618
0.2,bond_centered_branch,-3.2680291235790045e-07,3.2680291235790045e-07,1.4540330061658956e-09,0.8349852375236738,-5.6499060131155685e-15,2.1899062715300497,0.25178014954671474,0.9897635500329997,0.9993009649535554,0.060052859202179114,0.06007028535336886,0.0002900960281316811,-0.09757407185000033,-0.1,0.024259281499996677,1.0,0.16666666666666666,0.25178014954671474
0.25,bond_centered_branch,-9.466852056905225e-07,9.466852056905225e-07,5.987215219777085e-10,0.8321407229901092,-5.13803193829556e-15,1.9655266475286624,0.25225464473465925,0.987047261139607,0.9989329194206895,0.06712748098935345,0.06716062073897137,0.0004934401923818443,-0.12124907588562253,-0.125,0.030007392915019748,1.0,0.16666666666666666,0.25225464473465925
0.3,bond_centered_branch,-2.2367767800821537e-06,2.2367767800821537e-06,3.8731425548327853e-10,0.8291990495199661,-1.0016425405853063e-14,1.8004984088500302,0.25273936241792755,0.9842777232728803,0.9984983865447751,0.07351602980360149,0.0735707739095678,0.0007441012654509915,-0.14465436701555554,-0.15,0.03563755322962969,1.0,0.16666666666666666,0.25273936241792755
0.35,bond_centered_branch,-4.592139308831868e-06,4.592139308831868e-06,1.0544747371110871e-10,0.8261791427818458,-9.199269558639449e-15,1.672698165439907,0.2532335948650547,0.9814592843937777,0.9980021251193794,0.07938288723862251,0.07946551811484986,0.0010398331023013796,-0.1677980296741216,-0.175,0.04115411614787645,1.0,0.16666666666666666,0.2532335948650547
0.4,bond_centered_branch,-8.507196979031861e-06,8.507196979031861e-06,7.357789166042026e-11,0.8230990729151275,-8.544980777703129e-15,1.5700448636747681,0.2537366774277551,0.9785960200318714,0.9974485604549514,0.08483510301943036,0.08495221224235613,0.0013785305860156694,-0.1906877242998997,-0.2,0.04656137850050157,1.0,0.16666666666666666,0.2537366774277551
