bond_start,bond_end,nu_physical,nu_pt,logarithmic_negativity
0,1,1.0431473585564133,0.998512446201426,0.0
1,2,0.9707154622982176,0.8837914289960158,0.0
2,3,0.9782389913063039,0.8701907207932186,0.0
3,4,0.9707154622973274,0.8837914289961929,0.0
4,5,1.0431473585566131,0.9985124462013194,0.0
5,6,1.4761608696130832,1.5636491607325034,0.0
6,7,1.0431473585566349,0.9985124462017952,0.0
7,8,0.9707154622978773,0.8837914289944054,0.0
8,9,0.978238991309062,0.8701907207920604,0.0
9,10,0.9707154622979054,0.8837914289962102,0.0
10,11,1.0431473585562296,0.9985124462011712,0.0
11,0,1.4761608696130668,1.5636491607325533,0.0
