site,q_star,p_star
0,0.16284655373003878,-0.05963652314977224
1,0.12398197772436806,-0.044325499523856164
2,0.04732287452460195,-0.0164876102433624
3,-0.04732287452460194,0.016487610243362396
4,-0.12398197772436806,0.044325499523856164
5,-0.1628465537300388,0.05963652314977224
6,-0.1628465537300388,0.05963652314977224
7,-0.12398197772436806,0.044325499523856164
8,-0.04732287452460194,0.016487610243362396
9,0.04732287452460195,-0.0164876102433624
10,0.12398197772436806,-0.044325499523856164
11,0.16284655373003878,-0.05963652314977224
