lambda,state,spectral_abscissa,locking_rate,relative_lyapunov_residual,min_full_symplectic_eigenvalue,cp_margin,kstar_nu_physical,kstar_nu_pt,kstar_logarithmic_negativity,phase_tangent_overlap,locking_over_lambda5,small_window_compensated_fit
0.05,bond_centered_branch,-3.7380816257072137e-10,3.7380816257072137e-10,1.6489199887670503e-06,0.8427564383220295,-6.016606191615881e-15,4.334527363679724,0.25042573100821064,0.9975452894429011,0.9999530650920239,0.001196186120226308,0.0012129980070960697
0.075,bond_centered_branch,-2.764304354064284e-09,2.764304354064284e-09,1.5527669058290746e-07,0.8415520672012655,-8.468329283654364e-15,3.5452232594706374,0.25064368715717406,0.9962901967803953,0.9998956695251406,0.001164875579655073,0.001158492080481586
0.1,bond_centered_branch,-1.134462896799674e-08,1.134462896799674e-08,5.436418177347323e-08,0.8403091102566027,-4.303823360356507e-15,3.075563903346734,0.2508648598165494,0.9950176971531282,0.9998167455380882,0.0011344628967996737,0.0011213114180719424
0.125,bond_centered_branch,-3.3719425834394626e-08,3.3719425834394626e-08,1.976665594032187e-08,0.839029118782162,-7.464247431791219e-15,2.755638564437445,0.25108923140173267,0.9937279385856317,0.9997170738526293,0.001104918145741443,0.0010932956030922404
0.15,bond_centered_branch,-8.172530569587756e-08,8.172530569587756e-08,4.898541716232977e-09,0.8377138195481316,-5.0640856097937506e-15,2.5199126898500555,0.2513166248764123,0.9924219846181255,0.9995974070792806,0.0010762180173942725,0.001070925417841217
0.175,bond_centered_branch,-1.7206482300775985e-07,1.7206482300775985e-07,4.7520486490103395e-09,0.8363651541012229,-6.3040596883397864e-15,2.3370429631994067,0.2515469669112618,0.9911003008054389,0.9994584708640327,0.0010483392560239552,0.0010523691745638621
0.2,bond_centered_branch,-3.2680291235790045e-07,3.2680291235790045e-07,1.4540330061658956e-09,0.8349852375236738,-5.6499060131155685e-15,2.1899062715300497,0.25178014954671474,0.9897635500329997,0.9993009649535554,0.0010212591011184385,0.0010365551212310681
0.25,bond_centered_branch,-9.466852056905225e-07,9.466852056905225e-07,5.987215219777085e-10,0.8321407229901092,-5.13803193829556e-15,1.9655266475286624,0.25225464473465925,0.987047261139607,0.9989329194206895,0.0009694056506270951,0.0010106569309293895
0.3,bond_centered_branch,-2.2367767800821537e-06,2.2367767800821537e-06,3.8731425548327853e-10,0.8291990495199661,-1.0016425405853063e-14,1.8004984088500302,0.25273936241792755,0.9842777232728803,0.9984983865447751,0.0009204842716387466,0.0009899776354980571
0.35,bond_centered_branch,-4.592139308831868e-06,4.592139308831868e-06,1.0544747371110871e-10,0.8261791427818458,-9.199269558639449e-15,1.672698165439907,0.2532335948650547,0.9814592843937777,0.9980021251193794,0.0008743288979747714,0.0009728239985244632
0.4,bond_centered_branch,-8.507196979031861e-06,8.507196979031861e-06,7.357789166042026e-11,0.8230990729151275,-8.544980777703129e-15,1.5700448636747681,0.2537366774277551,0.9785960200318714,0.9974485604549514,0.00083078095498358,0.0009582052782427107
